HAPPY CENTER - KOZYATAĞI ,KOZYATAĞI
HAPPY CENTER - SUADİYE ,SUADİYE
HAPPY CENTER - ŞENESEVLER ,KOZYATAĞI
HAPPY MOON'S CAFE CADDEBOSTAN ,CADDEBOSTAN
HAPPY MOON'S CAFE ŞAŞKINBAKKAL ,CADDEBOSTAN
HARBİ TANTUNİ ,DUMLUPINAR
HD İSKENDER  TEPE NAUTILUS ,ACIBADEM
HD İSKENDER KADIKÖY İSKELE ,OSMANAĞA
HEEY KEBAP ,KOZYATAĞI
Homini Cafe ,HASANPAŞA
İNEGÖL KÖFTECİSİ ,CAFERAĞA
İSTANBUL KIRMIZI FIRIN ,19 MAYIS
KADIKÖY PİDE LAHMACUN ,FİKİRTEPE
KAMPÜS TANTUNİ ,EĞİTİM
KARAELMAS EV YEMEKLERİ ,CAFERAĞA
KARDEŞİM KEBAP ,KOŞUYOLU
KEBAPÇI İSKENDER ,CAFERAĞA
KEBAPÇI İSKENDER ERENKÖY CADDE ,SUADİYE
KEBO KADIKÖY ŞUBE ,CAFERAĞA
KEKİK CAFE ,CAFERAĞA
KERVAN BÖREK ,FİKİRTEPE
KETTLE BLACK COFFEE ,KOZYATAĞI
KFC - ACIBADEM ISTANBUL ,ACIBADEM
KFC - ALTIYOL ISTANBUL ,OSMANAĞA
KFC - BOSTANCI PARAGON ISTANBUL ,BOSTANCI
KFC - GOZTEPE ISTASYON ISTANBUL ,GÖZTEPE
KFC - MUHURDAR ISTANBUL ,MÜHÜRDAR CADDESİ CAFERAĞA
KFC - NAUTILUS ISTANBUL ,NAUTİLUS ALIŞVERİŞ MERKEZİ İBRAHİMAĞA
KFC - SAHRAYI CEDIT ISTANBUL ,SAHRAYICEDİT
KİM MARKET - ERENKÖY ,SAHRAYICEDİT
KOMAGENE ,19 MAYIS
KOMAGENE GÖZTEPE MAH. ,GÖZTEPE
KRİSTAL BÜFE ,KOZYATAĞI
KUZUREÇ ,ACIBADEM
KÖFTECİ YUSUF - BAĞDAT CADDESİ ,ZÜHTÜPAŞA
KÖFTECİ YUSUF İST-KADIKÖY RIHTIM ,CAFERAĞA
KÖFTECİ YUSUF İST-KOZYATAĞI ,KOZYATAĞI
MANDALİN COZY EV YEMEKLERİ ,KOZYATAĞI
MARMARİS BÜFE ,SAHRAYICEDİD
MARMARİS BÜFE ,19 MAYIS
MAVİ GIDA ,KOZYATAĞI
MAYDONOSS  ,KOŞUYOLU
MEKAN KEBAP KOKOREÇ ,19 MAYIS
MERCAN DÖNER ,KOZYATAĞI
MERT 33 TANTUNİ ,FENERYOLU
MEŞHUR HASANPAŞA KURUFASULYECİSİ ,HASANPAŞA
MİRBEY DÖNER ,ERENKÖY
MİS TANTUNİ KADIKÖY ŞUBE ,CAFERAĞA
MODA PİLAVCISI ,CAFERAĞA
MURAT MUHALLEBİCİSİ - KADIKÖY ,SAHRAYICEDİT
MUTFAK SAĞLIKLI LEZZETLER ,19 MAYIS
MIDPOINT BAĞDAT CADDESİ ,CADDE BOSTAN
N M S CAFFEE SHOP ,AYDINTEPE
NAR EV YEMEKLERİ ,KOZYATAĞI
NEFİS MUTFAK EV YEMEKLERİ ,CAFERAĞA
NUR KEBAP ,FENERYOLU
ONLY BURGER ,EĞİTİM
ONLY BURGER	 - BOSTANCI ,BOSTANCI
ORUÇ MARKET - BOSTANCI 1 ,BOSTANCI
OSMANAGA SERPME KÖFTE ,19 MAYIS
PATLICAN CAFE EV YEMEKLERİ ,19 MAYIS
PEHLİVAN ,CAFERAĞA
PEHLİVAN SÖĞÜTLÜÇEŞME ,RASİMPAŞA
PELİT PASTANELERİ CADDEBOSTAN ,CADDEBOSTAN
PELİT PASTANELERİ ERENKÖY ,ERENKÖY
PELİT PASTANELERİ KOZZY ,KOZYATAĞI
PELİT PASTANELERİ ZAMANE KAHVESİ SUADİYE ,SUDAİYE
PELİT PASTANELERİ ÇİFTEHAVUZLAR ,CADDEBOSTAN
PEMBEGÜL PASTA CAFE ,BOSTANCI
PEYNİRCİ BABA - HASANPAŞA ,HASANPAŞA
PİA MANTI ,SAHRAYICEDİD
PİDE DE SAMSUN ,HASANPAŞA
PİLAV DÜNYASI ,CAFERAĞA
PİLAVCI SAHRA CEDİT ,SAHRACEDİT
PİRAMİT PASTANESİ ,KÜÇÜKBAKKALKÖY
PİZZA BULLS ,GÖZTEPE
PİZZA BULSS ,HASANPAŞA
PİZZA LAZZA ,FENERYOLU
PİZZA LAZZA ,HASANPAŞA
PİZZA LAZZA - KAZASKER ,19 MAYIS
PİZZA LAZZA - KUYUBAŞI ,FENERYOLU
PİZZA LAZZA BOSTANCI ,BOSTANCI
PİZZA PER LA CADDE ,SUADİYE
RAMMAR MARKET  - FIKIRTEPE ,MERDİVENKÖY
Sakalar Pastane ,HASANPAŞA
SANDAVİÇ KRALI EXCLUSİVE ,KOŞUYOLU
SARAY MUHALLEBİCİSİ FENERYOLU ,FENERBAHÇE
SARAY MUHALLEBİCİSİ SUADİYE ,SUADİYE
SARMAŞIK CAFE ,SAHRAYICEDİD
SEYİTHAN İŞKEMBE ,19 MAYIS
SİMİT SARAYI KADIKÖY  ,OSMANAĞA
SOMON ANASI ,CAFERAĞA
SUBWAY ,CATERAĞA
SUBWAY KOZYATAĞI ,19 MAYIS
SUHAN KEBAP ,19 MAYIS
SUNA BÖREK CAFE RESTAURANT ,KOZYATAĞI
SILA MERSİN TANTUNİ ,FENERYOLU
TADIM KEBAP ÇORBA PİDE ,19 MAYIS 
TAKSİM KRİSTAL ,ERENKÖY
TAKINTI MUTFAK ,BOSTANCI
TANER BÖREK ,KOZYATAĞI
TARİHİ KADIKÖY DÖNERCİSİ ,ACIBADEM
TARİHİ KADIKÖY SARAY LOKANTASI ,OSMANAĞA
TARİHİ UNKAPANI PİLAVCISI ,CAFERAĞA
TARİHİ ŞEN LOKANTASI ,BOSTANCI
TAVUK DÜNYASI ,19 MAYIS
TAVUK DÜNYASI KOZZY İSTANBUL ,KOZYATAĞI
TAVUK FAKÜLTESİ ,BOSTANCI
TUSS KİTCHEN ,ACIBADEM
ULUDAĞ BURSA İSKENDER ,OSMANAĞA
UMMAN PASTANESİ ,SAHRAYI CEDİT
UMUT IZGARA VE EV YEMEKLERİ ,OSMANAĞA
VALİBEY KEBAP ,BOSTANCI
VAPİANO ,SUADİYE
YÜKSEL USTA ET LOKANTASI ,FENERYOLU
Zirve ,KOZYATAĞI
ÇANAK KEBAP VE KATMER/ACIBADEM ,ACIBADEM
ÇARŞI PETEK FIRIN  ,CAFERAĞA
ÇAĞRI MARKET - FİKİRTEPE ,FİKİRTEPE
ÇAĞRI MARKET - KOZYATAĞI ,BOSTANCI
ÇEŞME CAFE FAST FOOD ,SELAMİ ÇEŞME
ÇİLA LOKANTA ,KOZYATAĞI
ÖZGÜ FIRIN ,19 MAYIS
ÖZKURUŞLAR - BOSTANCI ,BOSTANCI
ÖZKURUŞLAR - ERENKÖY ,ERENKÖY
ÖZKURUŞLAR - GOZTEPE ,FENERYOLU
ÖZKURUŞLAR - SUADIYE ,SUADİYE
IHLAMUR BÜFE ,KOZYATAĞI
ŞATO BURGER ,HASANPAŞA
ŞİMŞEK DÖNER ,OSMANAĞA
ŞOK MARKET - ACIBADEM HUKUKÇULAR M ,ACIBADEM
ŞOK MARKET - ADALET KOZYATAĞI ,KOZYATAGI
ŞOK MARKET - AYŞEKADIN MARKET ,SUADİYE
ŞOK MARKET - BAHARİYE MAĞAZASI ,CAFERAĞA
ŞOK MARKET - BOSTANCI DEĞİRMENYOLU ,BOSTANCI
ŞOK MARKET - BOSTANCI MAĞAZASI ,BOSTANCI
ŞOK MARKET - BOSTANCI YENİYOL ,BOSTANCI
ŞOK MARKET - BUKET SK.KOZYATAĞI ,KOZYATAGI
ŞOK MARKET - CAMİ SK.SUADİYE ,SUADİYE
ŞOK MARKET - EMİN ALİ PAŞA ,BOSTANCI
ŞOK MARKET - ERENKÖY SANTRAL MAĞAZ ,CADDEBOSTAN
ŞOK MARKET - ERENKÖY ÇARŞI ,ERENKÖY
ŞOK MARKET - ETHEM EFENDİ ,ERENKÖY
ŞOK MARKET - HASIRCIBAŞI MAĞAZASI ,OSMANAĞA
ŞOK MARKET - HUZUR KOŞUYOLU ,KOSUYOLU
ŞOK MARKET - HIZIRBEY CD.GÖZTEPE ,MERDIVENKOY
ŞOK MARKET - İSTANBUL BAĞDAT CAD ,CADDEBOSTAN
ŞOK MARKET - İSTANBUL FENERBAHÇE ,FENERBAHÇE
ŞOK MARKET - İSTANBUL KOZYATAĞI SİTELER  ,KOZYATAĞI
ŞOK MARKET - İSTANBUL KIZILTOPRAK ,FENERYOLU
ŞOK MARKET - İSTANBUL ZİHNİPAŞA ,ERENKÖY
ŞOK MARKET - İSTANBUL ÖMER PAŞA ,ERENKÖY
ŞOK MARKET - KADIKÖY BELEDİYE ,HASANPASA
ŞOK MARKET - KADIKÖY BOĞA ,CAFERAGA
ŞOK MARKET - KADIKÖY GÜNEŞLİ SOKAK ,19 MAYIS
ŞOK MARKET - KADIKÖY HALİMAĞA SOKAK  ,SUADIYE
ŞOK MARKET - KADIKÖY HALİTAĞA ,RASİMPAŞA
ŞOK MARKET - KADIKÖY HAMDİ BEY ,FENERYOLU
ŞOK MARKET - KADIKÖY HASANPAŞA ,HASANPAŞA
ŞOK MARKET - KADIKÖY KAYA SULTAN ,KOZYATAĞI
ŞOK MARKET - KADIKÖY SERASKER ,OSMANAĞA
ŞOK MARKET - KADIKÖY SUDE SOKAK ,EĞİTİM
ŞOK MARKET - KAPTAN ARİF ,19 MAYIS
ŞOK MARKET - KAZASKER HİLMİPAŞA ,KOZYATAĞI
ŞOK MARKET - KAZASKER SİNAN ERCAN ,KAZASKER
ŞOK MARKET - KAŞANELER SOK  ,ERENKÖY
